ID;Nr;Messtag;Name;Fahrbahn;Belag;Manoever;Geschwindigkeit;Fahrzeug;Reifen;Reifendruck;Witterung;Stoerung;Mikrofon;Position
250;122;2;Konstantfahrt Asphalt nass;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;1
251;122;2;Konstantfahrt Asphalt nass;Oval;Asphalt;Konstantfahrt;80 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;2
252;123;2;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;30 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;1
253;123;2;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;30 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;2
254;124;2;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;50 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;1
255;124;2;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;50 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;2
256;125;2;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;80 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;1
257;125;2;Konstantfahrt Beton nass;Oval;Beton;Konstantfahrt;80 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;2
258;126;2;Konstantfahrt Blaubasalt nass;Oval;Blaubasalt;Konstantfahrt;30 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;1
259;126;2;Konstantfahrt Blaubasalt nass;Oval;Blaubasalt;Konstantfahrt;30 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;2
260;127;2;Konstantfahrt Blaubasalt nass;Oval;Blaubasalt;Konstantfahrt;50 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;1
261;127;2;Konstantfahrt Blaubasalt nass;Oval;Blaubasalt;Konstantfahrt;50 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;2
262;128;2;Konstantfahrt Blaubasalt nass;Oval;Blaubasalt;Konstantfahrt;80 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;1
263;128;2;Konstantfahrt Blaubasalt nass;Oval;Blaubasalt;Konstantfahrt;80 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;2
264;129;2;Konstantfahrt Stahl nass;Oval;Stahlbahn;Konstantfahrt;30 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;1
265;129;2;Konstantfahrt Stahl nass;Oval;Stahlbahn;Konstantfahrt;30 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;2
266;130;2;Konstantfahrt Stahl nass;Oval;Stahlbahn;Konstantfahrt;40 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;1
267;130;2;Konstantfahrt Stahl nass;Oval;Stahlbahn;Konstantfahrt;40 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;2
268;131;2;Beschleunigungsfahrt nass;Oval;Asphalt;Beschleunigung;0 - 80 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;1
269;131;2;Beschleunigungsfahrt nass;Oval;Asphalt;Beschleunigung;0 - 80 km/h;W75;Michelin;8 bar;nass;keine;PCB - Kein;2
